137263,480
137350,480
137350A,480
137350B,480
137350K,480
137350L,480
137350M,0
137350N,0
137350P,480
137350R,480
137535,720
138319,0
138319P,720
138319T,720
138499,0
138499A,120
138499C,0
138499M,0
138499P,120
139385C,0
139385P,720
139385T,720
139388,270
139394,0
139395,0
139454,120
139454A,120
139482H,480
139482L,480
139482M,480
139482R,480
139496,0
139547A,480
139735,60
140045,480
140047,480
140068,600
140070,600
140078,240
140086,480
140087,480
140088,480
140092A,120
140117,200
140117R,200
140117S,200
140117V,200
140121,150
140125,0
140125A,300
140125P,0
140125R,300
140125V,300
140135,72
140153B,1000
140231,36
140232,36
140241,60
140274,96
140275,72
140276,72
140288,72
140303,240
140304,480
140304A,480
140304B,480
140310,36
140395,30
140396,480
140399,150
140873,1500
140873A,1500
140873P,1500
140873S,1500
140873V,1500
140875,0
140879,48
140884,96
140888,200
140890,0
140895,0
140900,0
140901,48
140902,0
140902A,48
140902C,48
140902G,48
140902T,48
140902V,48
140902Y,48
140918,400
140919,100
140922,100
140923,60
140924,200
140926,0
140927,0
140928,800
140943,0
140944,0
140963,60
140963A,60
140963B,60
140964,60
140964A,60
140964B,60
140966,120
140970,72
140971,120
140975,0
140975A,48
140975B,0
140975C,48
140975E,48
140975G,48
140975L,48
140975M,48
140975T,0
140975V,48
140975W,48
140975Y,0
141001,200
141018,60
141018A,60
141018B,60
141018G,60
141018V,60
141019,60
141019A,60
141019B,60
141019G,0
141019V,60
141025,480
141173,200
141175,160
141176,200
141177,60
141193,120
141200,6
141222,100
141229,240
141230,10
141231,24
141232,40
141235,120
141237,300
141244,0
141244A,300
141244P,300
141248,96
141253,200
141260,0
141263,0
141264,300
141266,24
141267,100
141268,100
141275,0
141275A,0
141275M,24
141276A,48
141283,24
141284,24
141295,48
141298,500
141303,60
141306,100
141307,100
141309P,0
141309T,0
141312,480
141315,480
141316,100
141705,480
141706,480
141708B,480
141709,0
141713,480
141716,0
141719,30
141729P,0
141729T,0
141730,100
141733A,8
141734,12
141739,12
141742,60
141742A,60
141742B,60
141742G,60
141742L,60
141742P,0
141742V,60
141742W,60
141742Y,60
141750,200
141750P,200
141764,100
141765,120
141767,0
141767C,300
141767P,300
141771,120
141772,120
141773,0
141773B,120
141773C,0
141773P,120
